week_start,keyword,search_volume_index
2025-07-07,cloud kitchen bengaluru,75
2025-07-14,cloud kitchen bengaluru,100
2025-07-21,cloud kitchen bengaluru,103
2025-07-28,cloud kitchen bengaluru,86
2025-08-04,cloud kitchen bengaluru,109
2025-08-11,cloud kitchen bengaluru,75
2025-08-18,cloud kitchen bengaluru,99
2025-08-25,cloud kitchen bengaluru,81
2025-09-01,cloud kitchen bengaluru,90
2025-07-07,late night food bangalore,73
2025-07-14,late night food bangalore,68
2025-07-21,late night food bangalore,78
2025-07-28,late night food bangalore,104
2025-08-04,late night food bangalore,87
2025-08-11,late night food bangalore,114
2025-08-18,late night food bangalore,88
2025-08-25,late night food bangalore,121
2025-09-01,late night food bangalore,144
2025-07-07,healthy meal subscription,71
2025-07-14,healthy meal subscription,105
2025-07-21,healthy meal subscription,135
2025-07-28,healthy meal subscription,126
2025-08-04,healthy meal subscription,144
2025-08-11,healthy meal subscription,128
2025-08-18,healthy meal subscription,149
2025-08-25,healthy meal subscription,149
2025-09-01,healthy meal subscription,186
2025-07-07,family combo meals,117
2025-07-14,family combo meals,118
2025-07-21,family combo meals,106
2025-07-28,family combo meals,104
2025-08-04,family combo meals,105
2025-08-11,family combo meals,119
2025-08-18,family combo meals,105
2025-08-25,family combo meals,117
2025-09-01,family combo meals,148
2025-07-07,budget lunch box,78
2025-07-14,budget lunch box,65
2025-07-21,budget lunch box,81
2025-07-28,budget lunch box,64
2025-08-04,budget lunch box,47
2025-08-11,budget lunch box,58
2025-08-18,budget lunch box,49
2025-08-25,budget lunch box,65
2025-09-01,budget lunch box,69
2025-07-07,south indian breakfast delivery,57
2025-07-14,south indian breakfast delivery,48
2025-07-21,south indian breakfast delivery,44
2025-07-28,south indian breakfast delivery,51
2025-08-04,south indian breakfast delivery,30
2025-08-11,south indian breakfast delivery,47
2025-08-18,south indian breakfast delivery,51
2025-08-25,south indian breakfast delivery,35
2025-09-01,south indian breakfast delivery,53
